tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,bTGOC_a8hbjDcA7-tKu-ZbQXzlM0XTtpmoUHtSwj4aRyPBU,Kim Sang Hoon,440,132,128,False,False,False,False
GRANDMASTER,5JM8oGeNI8zmXXGdcpeaC3RLOVF9EAoF5YY3m3A6Qav0css,UECA2,553,154,125,False,False,True,False
GRANDMASTER,TvYjgU6HGrVyz4UJ45Guwz_xoMwKbGHfNGL2aT4pqF4hiQ,딱 지건 대,485,144,112,False,False,True,False
GRANDMASTER,elOLgQuB-DK724AYn6KvBtA91W12ldAIBXwYEjN6qttLig,요플래,435,271,250,True,False,False,False
GRANDMASTER,-M2VutgXW1hLaZWAEwpXEk-vDLwn95jJYUHLi5huLL5_bvg,F A 군면제 서폿,346,220,223,False,False,False,False
GRANDMASTER,vkiluJPefQyK-uNAmu02VFt67OrS-gYhLaHRv26mI_Uvo-M,지하도시 비돌,226,58,38,False,False,True,False
GRANDMASTER,hyDMKYkYwnRnNdw3a_QGtqQoO1Q5_Fj2HS9Iay0U4956aa4,galbimando,397,212,203,False,False,False,False
GRANDMASTER,ByBXAr5gEvCYGxyMM1ll82kDXfnipyoOw65SPth3mf6s7Ck,T1 Oner,434,494,374,False,False,True,False
GRANDMASTER,4lUupzr2gRiSDFLMa1nf0CiVmCVRJWUZRpzD3FOElaqj788,owowowowowowow,308,122,94,False,False,True,False
GRANDMASTER,EQjoQpy-QweRW9VbSSM8yv69R9HzTP0tG0yQ-82qIFon0Q,내큐를바드삼,286,78,52,False,False,False,True
GRANDMASTER,zH00A0GQMWNuq88wSMM2h47W8tLe8k3lPNUxhVBhDFXyIXo,치렝이,225,255,181,False,False,False,False
GRANDMASTER,dp5K53BGozlKNNeJHXmLgbVO3md9GVGI-l3IQ-gcKQrr_oI,i am jo jo,238,432,400,False,False,False,True
GRANDMASTER,4vdlLWzPyIvQkmsFvySBgPiVi4NH-b37lZSirpr5_4dcLTU,OMG the  bug,193,338,307,False,False,True,False
GRANDMASTER,XWC076VdKRkaG4PNmUp3zT5PLWxJwNos2YDlMc2Uf5f73Jo,광광우럮따,458,257,224,False,False,True,False
GRANDMASTER,fX1OMkwkYdEoSIC7hnxJmXbfi80ANpUjoAok9rYPNUY8bSI,맨질맨질보노보노,407,458,436,False,False,False,False
GRANDMASTER,yyeJ3Ckn27xP0VYhRQkeNkesUeaHVkBjUWAvS3OA3R0nycg,이규원,383,189,115,False,False,False,False
GRANDMASTER,VhP-boxyPW-IzkxYu3I_LutxcGNhSZD5U-hUThNykXEz3zw,qiaqia,475,239,214,True,False,True,False
GRANDMASTER,cmHH49O6Pj2ilxHbZnbVsgiHm25ayPS6zOduCZ7K-8IFv90,크리쳐fan,341,215,218,False,False,False,True
GRANDMASTER,VlQ3hPgffAYLt7BT4lbVdr_vEGwFrkxTNiTDDlVIedNG21E,잼 비,239,144,132,False,False,True,True
GRANDMASTER,Iy33nKmbFNtc1ki9OX2LBY5gQf1V6clolB6bQC3eLjKZLm4,몽강당,238,237,217,False,False,True,False
GRANDMASTER,XEB07Rkyih2aNmbmpsZMAblRrLTvaoJOhnt_U3-YQfvb3LY,Crawl forward,227,76,52,False,False,True,False
GRANDMASTER,fmlXaNBvx13W_dpm-pHd6bpgPXQhhiG1ZgZI3eeKYGvuw-U,Go Away,330,299,269,False,False,False,False
GRANDMASTER,ss__iKZNj3_LPgNlrI3RwNq2P3Tn7eMQlGEjN6NgD2HVjVs,멘탈잡자으쌰으쌰,340,473,494,False,False,True,False
GRANDMASTER,KyF7lxiq4XJjhRlsajXnXvWX_c1ajWHaxqP1Od8H8GVKSVk,FWliuhao,349,417,444,False,False,True,False
GRANDMASTER,inOphpBSAKASapBKkDFYM44YrPioL-ibA95RFtR0AJ9s6yE,오리지널찰떡쿠키,482,63,46,False,False,False,True
GRANDMASTER,8lQtpeat4HWXW-eFgqds8wi4NzVcpWzP7RVgFk-U7n0DATs,Blank,371,91,74,False,False,False,False
GRANDMASTER,7BrelDzExdq5tq0BXSXZmrOJoOsL7pNGp7Is7p200wCm1wg,멀리멀리날아라,242,67,33,False,False,True,False
GRANDMASTER,Q27vuQWRw82Wmu9epTHVjRStYkJbq7_2QYDFnEBmLeePOYw,qwerdftyuggg,387,363,315,True,False,False,False
GRANDMASTER,pW-B1hIbMayuvpU6uXzQWIlQpElrkzKblq1Y7NWcKG4WhXw,중고 핑와 삽니다,274,157,89,False,False,False,False
GRANDMASTER,6FMmanu6glctJ1C-pwwMat48h3LBRkzsf8rB2RyThh95yOo,Uehara Ahri,291,193,181,True,False,False,False
GRANDMASTER,OK1ECin61zJ6-sO9t6-izWmsowUCttL_uSlBzNTAQg7aVDc,INVADED,502,313,282,False,False,True,False
GRANDMASTER,7WyddQUI_47J9LcsZCViKRVUZkhszMeJEXbe76G5xWf7Ndk,Aseer,325,342,326,False,False,False,False
GRANDMASTER,jzDh7Zqv9Q-JHrD6eKF1jrjQKR6SpdezxdAkMObd9MtNL-A,FA DoRun,448,192,152,False,False,False,False
GRANDMASTER,8dQdtDg6seQ4ANr-tjY47ZUQIkWhaLoasOP7wy3xF-e1YzQ,a93cbd98gy1gcign,488,480,447,True,False,False,False
GRANDMASTER,wnls8ZxGNMh5Ij9g5qZsMTTeZMRzBbPNSXkfO9YcRlCxug,이보검,502,204,147,False,False,False,False
GRANDMASTER,HTtZSdlFPwsM48fKdxD6ooGxbHASv61WCOyFciQOxQaA_8k,Excuse,262,263,249,False,False,False,False
GRANDMASTER,Gifl38tGWpOmbHHxZhIQ23JX5o3canziIbDWa2_jfWobq4Q,그땐 그저 좋았다,237,124,104,True,False,False,False
GRANDMASTER,NAItYFeDYfDsd_UpYjQ4S5pd4MkrPsKzNGKCyZmJjVgxY6Y,tyi,212,139,118,True,False,False,True
GRANDMASTER,8GT7UHtvWUv9l2ztZGn4LtyuMMHRwsuPOTgq5uN5GzmiolE,제버지,204,155,133,False,False,False,False
GRANDMASTER,oQoqWZ2FJ5SQLC1ujlGtFaDhs5w1OtIl5USXXfRiiuq8aw,saebyeok,271,116,107,True,False,False,False
GRANDMASTER,VI_Bktezy2GUhEvo106Svt-tJP_5Pf12EvKgA-qUY51DKXY,ggggffff,501,137,121,False,False,True,False
GRANDMASTER,Wz6fhbYumHPzMp4mEO8bUqJtmWVtgU6AfT-mP_gkOmAKqg,급하게하지마세요,271,36,20,False,False,True,True
GRANDMASTER,EbvAGzxNSW864PvalfEHtPZBGNX6nEZkJGOtqSwr4246Umc,i want to Alive,354,314,278,False,False,False,False
GRANDMASTER,bzW5i-o6R80ol6AlWH_ngeDn4q2mk4TTMM55H-vRC1psVT0,zhong men dui ju,509,225,188,False,False,True,False
GRANDMASTER,2CUKXT7a9Mg2yvxeKmoj_izlKVjW1dxirvi7snghcjtrq_E,FA BUGI,407,123,110,False,False,True,False
GRANDMASTER,SAglQDdc9iGIggQHS9YFgHxexxh7LrgagkFwyDQ1sa0Kxss,용호냐,560,135,62,False,False,True,False
GRANDMASTER,-vDWjqGmSLcns5G4bbWB5-XQKKU0BMDWW3enH3HCfe6o-i0,Glassy sky1,397,184,159,False,False,False,False
GRANDMASTER,l6_S3lwMEWE_X0uB3NwktKgBr9KPl196N2N_k679-jo1bn0,외로움자1,337,213,136,False,False,True,False
GRANDMASTER,cEPPL7g8RlFkuJ9L33RBJqeGfopoB-nsttiezkGRNq-81WE,곰바위게,266,56,26,False,False,True,True
GRANDMASTER,uZ_dWnOfOUQFM1l8J8NvkVMzxRtJAxWLHFRpVX5JgEjWj3k,ap4369,332,139,100,True,False,False,False
GRANDMASTER,uQTNARPqA6nBVvGgqXmoPlMnNox8Vlbx6_tZpecx8Q-unVw,고개를 들어 ,242,136,112,False,False,False,False
GRANDMASTER,CLCZkf_zjPDOh83FMXXFSdIX_g_vXu6bgsKD31qy-sHlf_I,szygszn,606,376,349,False,False,True,False
GRANDMASTER,DrvEwIZMjhOrLOqXc5hkEBsDckWlHaO6lKjMQsEkjrz2w38,끄으러쉬,201,128,151,False,False,True,False
GRANDMASTER,oD71_KvxPqGLTXXvl-WvFYXdUS1Zl7KMiwyoWzpXb8_zlqU,정신나갈거같애,521,231,202,False,False,True,False
GRANDMASTER,MwMAGe7ndfKp0nY9taji8LsnabHHzV3wdCNGDVvKxairYGA,넌확실히강해졌다,295,112,92,True,False,False,False
GRANDMASTER,1FNHDQtSY6xavNEJcbtIAB5WZxrTox83dEN9Ws2skF-aC6Q,이도류,581,259,240,False,False,True,True
GRANDMASTER,b6vefaWV9N4qbZkTITQdCh8KaxX4XVWSkWg-OGWcus_kTAM,멍멍뭉뭉미,213,219,213,False,False,True,False
GRANDMASTER,12nh0DiS7bKcKE23O4pCAZJDMp0Kfeo4woZkEJ5hJQa8qnU,핑크와드 많이,309,267,235,True,False,False,False
GRANDMASTER,GUNtjeodR5ZFENEstK5mFTUnOgsH-KQ2UDPp1D1Ytog746g,By 불비,422,252,234,False,False,False,False
GRANDMASTER,P1EwDwHaBkk6EY_z--3oxRSyp-p7uv5qyTSMFI1ydDZs4RI,GALA1,294,108,98,False,False,True,False
GRANDMASTER,C0jS2F6xfXZlvz6s3cD5X2RpDsjLjMXpnQrDeES5fpvyHA,123465123,207,229,174,False,False,False,False
GRANDMASTER,aMRsBKoi2wRDz0SBgztvtiY_urDc9zGtb3a5sm_-Gjs9NQ,성훈킬,310,206,185,False,False,False,False
GRANDMASTER,CySBCl-Vr4rJdrX_Wh2M4eDkepjrDqMQ1J2Iblia95ZbmNs,역시폭근,424,106,63,False,False,False,False
GRANDMASTER,hEL92su8_fGkappfZSDHScYqSAaPLM2qWjecgSNaH8vnBl8,LPLLPLLPL,234,182,149,True,False,False,False
GRANDMASTER,bh7PP-8ov_fHmlGZJGjk2NVeX8m6FSb-gql8WBM6-CXh7RQ,앙 김뭉치,240,246,223,False,False,False,False
GRANDMASTER,KoQR8LASupuiufWPU0TmRcgEPsTitgviG4tAmTgQYpdBFbo,5Kid 5Kid,288,227,205,True,False,False,False
GRANDMASTER,9Ub2bFIAHIRd7IiZWmuEkNsiU1ujBNtxmoQceaO8JCX_BKc,컨디션이곧실력,437,395,407,False,False,True,False
GRANDMASTER,hbRFpLIWkT5JRocBKLde07Vkberof_Hw6xb2AEM-yZwjgtQ,백색말처럼,341,299,285,False,False,True,True
GRANDMASTER,agRC7obHubeTXkvP3c9dAwL7LcNJKdnUplVpLzgzYl26fQ,SANDBOX KingKong,550,223,188,False,False,False,False
GRANDMASTER,T-JZo32j-yJXNqkiPV3W2QxN691NL71_MX08CKzFuKSiIGc,T1 supernova,172,499,488,False,False,True,False
GRANDMASTER,eoa6l68r4gZq62D988psu6Ad4cKE9LtWIhN5gteE_MSFGkg,Undone,505,120,96,False,False,True,False
GRANDMASTER,VLQIlQ33i_UN7ZPFLlSeyXPKqP6quAe0FjtZEo9ZAafo4B8,김데데드리프트,272,118,111,True,False,False,False
GRANDMASTER,2XsObAXIOMsGBrUMZZ_9We7HRWtgAERnhKy_KC4aRDZldmU,zhen de lan ,432,246,215,False,False,True,False
GRANDMASTER,37i4a2e0Uhg4b3MzwDWIAruExVfs5JR1nj7IbQ2IZJvrYPo,AF 으아아앙,336,369,353,True,False,False,False
GRANDMASTER,NyJx2B5w3COPWcvME-6gzjkOCPu-tphoikxY3cZ2P0JKwDg,tlqkfdnjselfckdl,312,196,124,False,False,False,False
GRANDMASTER,YXdrSlz0VabHZh00XERWz0HB5hIoPYBgPZrPbTlQ8KrgmgY,BRION Wizer,366,102,89,True,False,False,False
